timestamp,Green1 Count,Green2 Count
858,177552,163305
859,177670,163402
860,177720,163205
861,177840,162402
862,178109,160932
863,178593,157034
864,178856,155360
865,179089,157362
866,179186,157561
867,179279,157063
868,179364,156295
869,179417,155219
870,179368,154473
871,179356,154493
872,179571,154931
873,179535,153242
874,179252,150667
875,178720,149176
876,178192,147669
877,177795,152140
878,177711,156883
879,177680,159553
880,177576,161528
881,177664,162331
882,177588,163217
883,177803,164025
884,177861,164450
885,178151,164716
886,178630,164860
887,178930,164710
888,178964,164553
889,178815,164596
890,178558,164893
891,178229,165202
892,178043,165282
893,177945,165324
894,177743,165435
895,177679,165688
896,177798,165865
897,177944,165941
898,178040,165566
899,178034,164561
900,178067,163753
901,178509,161331
902,178886,156720
903,179272,158639
904,179240,158528
905,179107,157512
906,178930,157148
907,178612,156101
908,178323,155052
909,178227,155796
910,177998,156450
911,177002,153409
912,176624,150483
913,176591,149395
914,176520,151699
915,176356,158802
916,175879,160948
917,175753,162207
918,176394,164398
919,176409,165762
920,176683,167479
921,176470,168101
922,176445,168184
923,176200,168352
924,175937,168873
925,175725,169779
926,175407,170968
927,175160,171667
928,175104,172152
929,175113,172548
930,175183,172823
931,175295,173113
932,175510,173372
933,175713,173253
934,175912,172794
935,176315,171746
936,176911,169368
937,177480,166567
938,177872,160449
939,177660,158490
940,177464,158218
941,177335,157674
942,177258,156667
943,177154,155731
944,177171,155737
945,177272,155785
946,177425,156058
947,177611,154888
948,178071,152690
949,178496,151644
950,178956,151979
951,178654,150848
952,178891,154642
953,179666,156956
954,179552,158765
955,179587,164996
956,179503,168360
957,179292,169337
958,179008,170091
959,178706,171010
960,178283,171626
961,178131,172347
962,177860,173154
963,177773,173687
964,177737,174089
965,177697,174577
966,177675,175113
967,177964,175650
968,178406,175891
969,178672,175770
970,178661,175425
971,178774,174251
972,179110,171283
973,179399,167589
974,179486,161578
975,179369,158992
976,179385,159125
977,179349,158630
978,179265,157680
979,179122,157149
980,179162,157129
981,179449,158192
982,179736,157958
983,179652,154831
984,179769,153192
985,179796,152323
986,179529,153846
987,179425,158366
988,179296,160240
989,179427,164396
990,179514,167705
991,179381,169788
992,179344,172133
993,179237,173646
994,179230,174366
995,179273,174836
996,179136,175204
997,179002,175535
998,178963,175769
999,179167,176059
1000,179524,176371
1001,179716,176646
1002,179637,177143
1003,179483,177847
1004,179247,178522
1005,179246,178554
1006,179167,178150
1007,179556,177313
1008,180681,175366
1009,181733,171586
1010,182672,166355
1011,183579,162331
1012,184489,163950
1013,185031,164454
1014,185707,166468
1015,186232,168655
1016,186698,170376
1017,187087,171941
1018,187624,174129
1019,187417,175331
1020,187384,175613
1021,187541,175014
1022,187721,174253
1023,187944,172641
1024,187806,167402
1025,187340,163051
1026,186457,159336
1027,185070,155970
1028,183082,154199
1029,181596,161805
1030,181041,165090
1031,180940,166278
1032,180912,166665
1033,180884,166903
1034,180807,167003
1035,180658,166840
1036,180636,166783
1037,180684,166887
1038,180750,167079
1039,180805,167192
1040,180850,167354
1041,180851,167860
1042,180841,168100
1043,180839,168344
1044,180879,168562
1045,181026,168654
1046,181179,168664
1047,181348,168709
1048,181482,168705
1049,181568,168779
1050,181582,168780
1051,181580,168660
1052,181579,168440
1053,181585,168219
1054,181570,168111
1055,181510,168106
1056,181436,168103
1057,181376,168021
1058,181363,167988
1059,181369,167922
1060,181393,167818
1061,181447,167790
1062,181467,167821
1063,181470,167787
1064,181495,167714
1065,181475,167567
1066,181395,167422
1067,181277,167272
1068,181158,167111
1069,181065,166958
1070,181000,166812
1071,180950,166687
1072,180918,166619
1073,180900,166533
1074,180869,166421
1075,180867,166306
1076,180895,166133
1077,180945,166075
1078,180982,166014
1079,181031,165982
1080,181013,165877
1081,180906,165674
1082,180760,165465
1083,180607,165217
1084,180457,165041
1085,180345,164875
1086,180280,164770
1087,180200,164635
1088,180148,164524
1089,180087,164437
1090,180043,164323
1091,180033,164273
1092,180028,164225
1093,180033,164186
1094,180037,164206
1095,179981,164142
1096,179804,163928
1097,179583,163688
1098,179351,163437
1099,179102,163211
1100,178945,163053
1101,178820,162954
1102,178696,162884
1103,178573,162812
1104,178456,162734
1105,178365,162667
1106,178309,162598
1107,178263,162592
1108,178223,162571
1109,178193,162539
1110,178149,162482
1111,177969,162292
1112,177697,162073
1113,177395,161844
1114,177109,161633
1115,176872,161496
1116,176708,161417
1117,176569,161293
1118,176438,161203
1119,176294,161112
1120,176182,161058
1121,176083,161004
1122,176005,160983
1123,175955,160986
1124,175921,160978
1125,175919,160955
1126,175889,160918
1127,175701,160715
1128,175411,160524
1129,175099,160342
1130,174830,160180
1131,174612,160047
1132,174460,159969
1133,174334,159938
1134,174198,159906
1135,174077,159864
1136,173996,159822
1137,173926,159818
1138,173893,159832
1139,173885,159880
1140,173879,159916
1141,173893,159964
1142,173907,160001
1143,173816,159996
1144,173561,159901
1145,173233,159812
1146,172962,159745
1147,172719,159730
1148,172510,159728
1149,172379,159749
1150,172251,159753
1151,172128,159840
1152,171956,159976
1153,171803,160102
1154,171729,160215
1155,171673,160361
1156,171634,160415
1157,171614,160528
1158,171593,160601
1159,171505,160664
1160,171299,160618
1161,170987,160583
1162,170668,160540
1163,170393,160517
1164,170162,160518
1165,170004,160525
1166,169870,160509
1167,169720,160504
1168,169618,160526
1169,169504,160538
1170,169454,160537
1171,169415,160528
1172,169409,160548
1173,169422,160579
1174,169459,160568
1175,169467,160597
1176,169334,160518
1177,169096,160395
1178,168849,160245
1179,168667,160121
1180,168534,160071
