timestamp ecg,
653329817359474947,-9
653329817367151896,-14
653329817374828845,9
653329817382505794,7
653329817390182743,4
653329817397859692,17
653329817405536641,29
653329817413213590,31
653329817420890539,29
653329817428567488,26
653329817436244437,34
653329817443921386,41
653329817451598335,46
653329817459275284,55
653329817466952233,65
653329817474629182,77
653329817482306131,97
653329817489983080,116
653329817497660029,133
653329817505336978,155
653329817513013927,182
653329817520690876,199
653329817528367825,208
653329817536044774,223
653329817543721723,235
653329817551398672,230
653329817559075621,204
653329817566752570,160
653329817574429519,104
653329817582106468,53
653329817589783417,4
653329817597460366,-34
653329817605137315,-58
653329817612814264,-70
653329817620491213,-72
653329817628168162,-70
653329817635845127,-70
653329817643522076,-65
653329817651199025,-58
653329817658875974,-55
653329817666552923,-53
653329817674229872,-53
653329817681906821,-48
653329817689583770,-38
653329817697260719,-43
653329817704937668,-51
653329817712614617,-41
653329817720291566,-26
653329817727968515,-24
653329817735645464,-24
653329817743322413,-21
653329817750999362,-17
653329817758676311,-12
653329817766353260,-9
653329817774030209,-9
653329817781707158,-7
653329817789384107,-4
653329817797061056,-4
653329817804738005,-4
653329817812414954,0
653329817820091903,2
653329817827768852,4
653329817835445801,4
653329817843122750,2
653329817850799699,4
653329817858476648,9
653329817866153597,9
653329817873830546,9
653329817881507495,9
653329817889184444,9
653329817896861393,14
653329817904538342,24
653329817912215291,24
653329817919892240,19
653329817927569189,19
653329817935246138,21
653329817942923087,24
653329817950600036,26
653329817958276985,26
653329817965953934,31
653329817973630883,36
653329817981307832,36
653329817988984781,29
653329817996661730,29
653329818004338679,34
653329818012015628,38
653329818019692577,36
653329818027369526,38
653329818035046475,43
653329818042723424,41
653329818050400373,38
653329818058077322,41
653329818065754271,41
653329818073431220,36
653329818081108169,31
653329818088785118,36
653329818096462067,53
653329818104139016,72
653329818111815965,75
653329818119492914,55
653329818127169863,43
653329818134846812,43
653329818142523761,41
653329818150200710,34
653329818157877659,34
653329818165554608,31
653329818173231557,26
653329818180908506,19
653329818188585455,17
653329818196262420,0
653329818203939369,14
653329818211616318,216
653329818219293267,600
653329818226970216,835
653329818234647165,527
653329818242324114,-53
653329818250001063,-167
653329818257678012,46
653329818265354961,17
653329818273031910,-75
653329818280708859,-17
653329818288385808,4
653329818296062757,-29
653329818303739706,-24
653329818311416655,-2
653329818319093604,-2
653329818326770553,2
653329818334447502,9
653329818342124451,7
653329818349801400,9
653329818357478349,14
653329818365155298,17
653329818372832247,21
653329818380509196,26
653329818388186145,34
653329818395863094,41
653329818403540043,53
653329818411216992,68
653329818418893941,89
653329818426570890,111
653329818434247839,131
653329818441924788,150
653329818449601737,177
653329818457278686,199
653329818464955635,213
653329818472632584,218
653329818480309533,221
653329818487986482,213
653329818495663431,189
653329818503340380,140
653329818511017329,82
653329818518694278,31
653329818526371227,-7
653329818534048176,-43
653329818541725125,-65
653329818549402074,-72
653329818557079023,-75
653329818564755972,-72
653329818572432921,-65
653329818580109870,-65
653329818587786819,-68
653329818595463768,-60
653329818603140717,-46
653329818610817666,-41
653329818618494615,-41
653329818626171564,-36
653329818633848513,-26
653329818641525462,-19
653329818649202411,-19
653329818656879360,-17
653329818664556309,-9
653329818672233258,-9
653329818679910207,-17
653329818687587156,-19
653329818695264105,-14
653329818702941054,-12
653329818710618003,-9
653329818718294952,-12
653329818725971901,-7
653329818733648850,0
653329818741325799,2
653329818749002748,0
653329818756679713,0
653329818764356662,2
653329818772033611,7
653329818779710560,7
653329818787387509,7
653329818795064458,9
653329818802741407,12
653329818810418356,9
653329818818095305,12
653329818825772254,14
653329818833449203,9
653329818841126152,12
653329818848803101,12
653329818856480050,4
653329818864156999,0
653329818871833948,9
653329818879510897,14
653329818887187846,9
653329818894864795,7
653329818902541744,12
653329818910218693,17
653329818917895642,19
653329818925572591,19
653329818933249540,19
653329818940926489,21
653329818948603438,24
653329818956280387,21
653329818963957336,19
653329818971634285,26
653329818979311234,29
653329818986988183,29
653329818994665132,26
653329819002342081,29
653329819010019030,31
653329819017695979,31
653329819025372928,36
